,Backlog,Build,Build Complete,Done,Elaboration,Elaboration Complete,Elaboration kickoff,Integrate,Test,Test Complete,cycle_time
2014-10-24,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-25,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-26,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-27,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-28,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-29,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-30,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-31,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-02,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-03,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-04,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-05,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-06,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-07,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-08,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-09,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-10,55.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-11,56.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-12,56.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-13,56.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-14,56.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-15,56.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-16,56.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-17,56.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-18,56.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-19,56.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,-2.0
2014-11-20,56.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,-2.0
2014-11-21,56.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,-2.0
2014-11-22,56.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,-2.0
2014-11-23,56.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,-2.0
2014-11-24,56.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,-2.0
2014-11-25,56.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,-2.0
2014-11-26,56.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,-2.0
2014-11-27,56.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,-2.0
2014-11-28,56.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,-2.0
2014-11-29,56.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,-2.0
2014-11-30,56.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,-2.0
2014-12-01,56.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,-2.0
2014-12-02,56.0,3.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,-2.0
2014-12-03,56.0,3.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,-2.0
2014-12-04,56.0,3.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,-2.0
2014-12-05,56.0,3.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,-2.0
2014-12-06,56.0,3.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,-2.0
2014-12-07,56.0,3.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,-2.0
2014-12-08,56.0,3.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,-2.0
2014-12-09,56.0,5.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,-2.0
2014-12-10,79.0,5.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,-2.0
2014-12-11,79.0,5.0,0.0,0.0,6.0,0.0,2.0,3.0,0.0,0.0,-2.0
2014-12-12,79.0,5.0,0.0,0.0,6.0,0.0,2.0,3.0,0.0,0.0,-2.0
2014-12-13,79.0,5.0,0.0,0.0,6.0,0.0,2.0,3.0,0.0,0.0,-2.0
2014-12-14,79.0,5.0,0.0,0.0,6.0,0.0,2.0,3.0,0.0,0.0,-2.0
2014-12-15,79.0,5.0,0.0,0.0,6.0,0.0,2.0,3.0,3.0,0.0,-2.0
